NofPmids,NofSnps,associationType,diseaseId,diseaseName,diseaseType,disease_mention,geneId,geneSymbol,gene_mention,originalSource,pmid,raw_sentence,score,sentence,source
1.0,0.0,Biomarker,C3714756,Intellectual Disability,group,mental retardation,57282,SLC4A10,SLC4A10,CTD_human,18413482,Disruption of sodium bicarbonate transporter SLC4A10 in a patient with complex partial epilepsy and mental retardation.,0.200274726784213,"Disruption of sodium bicarbonate transporter <span class=""gene"" id=""18413482-0-45-52"">SLC4A10</span> in a patient with complex partial epilepsy and <span class=""disease"" id=""18413482-0-100-118"">mental retardation</span>.",CTD_human
,,Negative,MESH:D001930,,,TBI,25166,,caspase-1,,28077335,Rats treated with   -3 FAs had significantly less TBI-induced caspase-1 cleavage and IL-1b secretion than those with vehicle.,,,
1.0,0.0,Biomarker,C0271650,Impaired glucose tolerance,phenotype,glucose intolerance,407040,MIR34A,miR-34a,CTD_human,23834033,"Conversely, antagonism of miR-34a in diet-induced obese mice restored NAMPT/NAD(+) levels and alleviated steatosis, inflammation, and glucose intolerance.",0.2,"Conversely, antagonism of <span class=""gene"" id=""23834033-10-26-33"">miR-34a</span> in diet-induced obese mice restored NAMPT/NAD(+) levels and alleviated steatosis, inflammation, and <span class=""disease"" id=""23834033-10-134-153"">glucose intolerance</span>.",CTD_human
1.0,0.0,Biomarker,C0242383,Age related macular degeneration,disease,age-related macular degeneration,7422,VEGFA,VEGF,CTD_human,15788408,Oxidative stress is suggested to occur in retinal tissue during age-related macular degeneration and diabetic retinopathy and is suspected in the mechanism of VEGF expression in these diseases.,0.270794606220161,"Oxidative stress is suggested to occur in retinal tissue during <span class=""disease"" id=""15788408-2-64-96"">age-related macular degeneration</span> and diabetic retinopathy and is suspected in the mechanism of <span class=""gene"" id=""15788408-2-159-163"">VEGF</span> expression in these diseases.",CTD_human
1.0,0.0,Biomarker,C0017661,IGA Glomerulonephritis,disease,IgA nephropathy,183,AGT,AGT,CTD_human,9259580,Our results suggest that polymorphisms at the AGT and ACE gene loci are important markers for predicting progression to chronic renal failure in Caucasian patients with IgA nephropathy.,0.24072004040329695,"Our results suggest that polymorphisms at the <span class=""gene"" id=""9259580-12-46-49"">AGT</span> and ACE gene loci are important markers for predicting progression to chronic renal failure in Caucasian patients with <span class=""disease"" id=""9259580-12-169-184"">IgA nephropathy</span>.",CTD_human
,,Negative,MESH:D007244,,,IM,21577,,TCRb,,28091735,"In this study, we fully characterized the diversity of peripheral blood TCRb repertoire in IM (n  =  6) and CAEBV patients (n  =  5) and EBV-seropositive controls (n  =  5).",,,
,,Negative,MESH:D005355,,,lung fibrosis,116490,,SNAI1,,28115235,"This excessive deposition was accompanied by an upregulation of transcripts related to the extracellular matrix (TGFb1, SNAI1 and SNAI2), indicating lung fibrosis.",,,
8.0,9.0,Biomarker,C0265306,Greig cephalopolysyndactyly syndrome,disease,Greig cephalopolysyndactyly syndrome,2737,GLI3,GLI3,CTD_human,10441342,Point mutations throughout the GLI3 gene cause Greig cephalopolysyndactyly syndrome.,0.6874176231737541,"Point mutations throughout the <span class=""gene"" id=""10441342-0-31-35"">GLI3</span> gene cause <span class=""disease"" id=""10441342-0-47-83"">Greig cephalopolysyndactyly syndrome</span>.",CTD_human;ORPHANET;UNIPROT
69.0,0.0,Therapeutic,C0020538,Hypertensive disease,group,hypertension,183,AGT,angiotensin II,CTD_human,1432030,Effect of intracarotid infusion of etoposide with angiotensin II-induced hypertension on the blood-brain barrier and the brain tissue.,0.52,"Effect of intracarotid infusion of etoposide with <span class=""gene"" id=""1432030-0-50-64"">angiotensin II</span>-induced <span class=""disease"" id=""1432030-0-73-85"">hypertension</span> on the blood-brain barrier and the brain tissue.",CTD_human
3.0,0.0,Biomarker,C0036202,Sarcoidosis,disease,sarcoidosis,3115,HLA-DPB1,HLA-DPB,CTD_human,8909942,HLA-DPB polymorphisms: Glu 69 association with sarcoidosis.,0.20701187132028095,"<span class=""gene"" id=""8909942-0-0-7"">HLA-DPB</span> polymorphisms: Glu 69 association with <span class=""disease"" id=""8909942-0-47-58"">sarcoidosis</span>.",CTD_human
,,Negative,MESH:D006333,,,heart failure,18024,,NFE2L2,,28132522,"Preserving the NFE2L2 activity arrested the mitochondrial and cardiac oxidative stress, cardiac fibrosis, and heart failure in Chagas disease.",,,
,,Negative,MESH:D001927,,,brain disorders,25542,,macrophage inflammatory protein (MIP)-1alpha,,28094821,"UNASSIGNED: Growing evidence suggests that macrophage inflammatory protein (MIP)-1alpha (synonym CCL3) is upregulated in the neuroinflammatory processes initiated by some brain disorders, but its precise role and regulatory mechanism remain unclear.",,,
1.0,0.0,Biomarker,C0014175,Endometriosis,disease,endometriosis,5320,PLA2G2A,PLA2G2A,CTD_human,25446850,"Higher expression of PLA2G2A, PTGS2, AKR1B1, AKR1C3 and ABCC4 was seen in 22-B endometriosis cells compared to HIESC control cells.",0.2,"Higher expression of <span class=""gene"" id=""25446850-11-21-28"">PLA2G2A</span>, PTGS2, AKR1B1, AKR1C3 and ABCC4 was seen in 22-B <span class=""disease"" id=""25446850-11-79-92"">endometriosis</span> cells compared to HIESC control cells.",CTD_human
1.0,1.0,Biomarker,C0036341,Schizophrenia,disease,schizophrenia,90139,TSPAN18,TSPAN18,CTD_human,22037552,"We identified two susceptibility loci for schizophrenia at 6p21-p22.1 (rs1233710 in an intron of ZKSCAN4, P(combined) = 4.76 × 10(-11), odds ratio (OR) = 0.79; rs1635 in an exon of NKAPL, P(combined) = 6.91 × 10(-12), OR = 0.78; rs2142731 in an intron of PGBD1, P(combined) = 5.14 × 10(-10), OR = 0.79) and 11p11.2 (rs11038167 near the 5' UTR of TSPAN18, P(combined) = 1.09 × 10(-11), OR = 1.29; rs11038172, P(combined) = 7.21 × 10(-10), OR = 1.25; rs835784, P(combined) = 2.73 × 10(-11), OR = 1.27).",0.20082418035263894,"We identified two susceptibility loci for <span class=""disease"" id=""22037552-2-42-55"">schizophrenia</span> at 6p21-p22.1 (rs1233710 in an intron of ZKSCAN4, P(combined) = 4.76 &times; 10(-11), odds ratio (OR) = 0.79; rs1635 in an exon of NKAPL, P(combined) = 6.91 &times; 10(-12), OR = 0.78; rs2142731 in an intron of PGBD1, P(combined) = 5.14 &times; 10(-10), OR = 0.79) and 11p11.2 (rs11038167 near the 5' UTR of <span class=""gene"" id=""22037552-2-346-353"">TSPAN18</span>, P(combined) = 1.09 &times; 10(-11), OR = 1.29; rs11038172, P(combined) = 7.21 &times; 10(-10), OR = 1.25; rs835784, P(combined) = 2.73 &times; 10(-11), OR = 1.27).",CTD_human
4.0,0.0,Biomarker,C0026850,Muscular Dystrophy,disease,muscular dystrophies,1756,DMD,dystrophin,CTD_human,10797403,Mutations in the dystrophin gene that lead to the expression of truncated forms of the dystrophin protein cause muscular dystrophies of varying severities both in humans and in mice.,0.4949452099395271,"Mutations in the <span class=""gene"" id=""10797403-1-17-27"">dystrophin</span> gene that lead to the expression of truncated forms of the <span class=""gene"" id=""10797403-1-87-97"">dystrophin</span> protein cause <span class=""disease"" id=""10797403-1-112-132"">muscular dystrophies</span> of varying severities both in humans and in mice.",CTD_human;HPO
1.0,0.0,Biomarker,C0027796,Neuralgia,phenotype,neuropathic pain,177,AGER,Receptor for Advanced Glycation End-products,CTD_human,25014009,Identification of a functional interaction of HMGB1 with Receptor for Advanced Glycation End-products in a model of neuropathic pain.,0.2,"Identification of a functional interaction of HMGB1 with <span class=""gene"" id=""25014009-0-57-101"">Receptor for Advanced Glycation End-products</span> in a model of <span class=""disease"" id=""25014009-0-116-132"">neuropathic pain</span>.",CTD_human
2.0,0.0,Biomarker,C0001973,"Alcoholic Intoxication, Chronic",disease,alcohol dependence,4887,NPY2R,NPY2R,CTD_human,18828811,"SNPs in NPY2R provided significant evidence of association with alcohol dependence, alcohol withdrawal symptoms, comorbid alcohol and cocaine dependence, and cocaine dependence (all p < 0.03).",0.402956482091714,"SNPs in <span class=""gene"" id=""18828811-7-8-13"">NPY2R</span> provided significant evidence of association with <span class=""disease"" id=""18828811-7-64-82"">alcohol dependence</span>, alcohol withdrawal symptoms, comorbid alcohol and cocaine dependence, and cocaine dependence (all p &lt; 0.03).",CTD_human;PSYGENET
,,Negative,MESH:D009336,,,necrosis,3569;3586,,"interleukin-6, and -10",,28079606,"MEASUREMENTS AND MAIN RESULTS: We measured a panel of biomarkers representing four pathophysiologic domains: ""inflammation"" (tumor necrosis factor, interleukin-6, and -10); ""coagulation"" (D-dimers, thrombin-antithrombin complex); ""oxidative stress"" (urine isoprostane); and ""tissue hypoxia"" (lactate) at 0, 6, 24, and 72 hours after treatment.",,,
2.0,2.0,Biomarker,C1854467,"Spastic paraplegia 13, autosomal dominant",disease,SPG13,3329,HSPD1,Hsp60,CTD_human,18571143,"Our findings suggest that Hsp60 defects can cause neurodegenerative pathologies of varying severity, not previously suspected on the basis of the SPG13 phenotype.",0.6805494535684261,"Our findings suggest that <span class=""gene"" id=""18571143-10-26-31"">Hsp60</span> defects can cause neurodegenerative pathologies of varying severity, not previously suspected on the basis of the <span class=""disease"" id=""18571143-10-146-151"">SPG13</span> phenotype.",CTD_human;ORPHANET;UNIPROT
2.0,0.0,Biomarker,C0027051,Myocardial Infarction,disease,myocardial infarction,4846,NOS3,eNOS,CTD_human,16337503,Genetic polymorphisms G894T on the eNOS gene is associated with endothelial function and vWF levels in premature myocardial infarction survivors.,0.36822838249997497,"Genetic polymorphisms G894T on the <span class=""gene"" id=""16337503-0-35-39"">eNOS</span> gene is associated with endothelial function and vWF levels in premature <span class=""disease"" id=""16337503-0-113-134"">myocardial infarction</span> survivors.",CTD_human
,,Negative,MESH:C566610,,,axis,5214,,PFKP,,28176759,"Thus, the Snail-PFKP axis plays an important role in cancer cell survival via regulation of glucose flux between glycolysis and PPP.",,,
,,Negative,MESH:D008545,,,Melanoma 2,107181291,,PYRIN-only protein 3,,28062222,"Type I interferons (IFN-a/b)-inducible PYRIN and HIN domain-containing protein family includes Absent in Melanoma 2 (murine Aim2 and human AIM2), murine p202, and human PYRIN-only protein 3 (POP3).",,,
5.0,5.0,Biomarker,C0079588,"Ichthyosis, X-Linked",disease,XLI,412,STS,STS,CTD_human,14641695,"It is known that an undetectable maternal serum, unconjugated estriol, associated with placental steroid sulfatase (STS) deficiency, may be the cause of cause of XLI.",0.622462083770844,"It is known that an undetectable maternal serum, unconjugated estriol, associated with placental <span class=""gene"" id=""14641695-3-97-114"">steroid sulfatase</span> (<span class=""gene"" id=""14641695-3-116-119"">STS</span>) deficiency, may be the cause of cause of <span class=""disease"" id=""14641695-3-162-165"">XLI</span>.",CTD_human;ORPHANET;UNIPROT
,,Negative,MESH:D007249,,,inflammation,100620530,,CD14,,28013313,"RESULTS: Only severe NEC cases (score of 5-6) were associated with the upregulation of genes involved in inflammation (CCL2, CCL3, CD14, CD163, CXCL8, HP, IL1B, IL1RN, IL6,IL10, NFKBIA, PTGS2 and TNFAIP3) compared to pigs that appeared healthy (score of 1-2) or showed mild NEC (score of 3-4).",,,
2.0,0.0,Biomarker,C0027627,Neoplasm Metastasis,phenotype,metastasis,6275,S100A4,S100A4,CTD_human,21685359,Niclosamide inhibits S100A4-induced metastasis formation in a mouse model of colon cancer and has therapeutic potential.,0.245561580047423,"Niclosamide inhibits <span class=""gene"" id=""21685359-11-21-27"">S100A4</span>-induced <span class=""disease"" id=""21685359-11-36-46"">metastasis</span> formation in a mouse model of colon cancer and has therapeutic potential.",CTD_human
2.0,0.0,Biomarker,C0025958,Microcephaly,disease,microcephaly,84879,MFSD2A,MFSD2A,CTD_human,26005865,A partially inactivating mutation in the sodium-dependent lysophosphatidylcholine transporter MFSD2A causes a non-lethal microcephaly syndrome.,0.20082418035263894,"A partially inactivating mutation in the sodium-dependent lysophosphatidylcholine transporter <span class=""gene"" id=""26005865-0-94-100"">MFSD2A</span> causes a non-lethal <span class=""disease"" id=""26005865-0-121-133"">microcephaly</span> syndrome.",CTD_human
1.0,0.0,Therapeutic,C0009319,Colitis,disease,colitis,8174,MADCAM1,MAdCAM-1,CTD_human,16917232,Antisense therapy of MAdCAM-1 for trinitrobenzenesulfonic acid-induced murine colitis.,0.20054945356842604,"Antisense therapy of <span class=""gene"" id=""16917232-0-21-29"">MAdCAM-1</span> for trinitrobenzenesulfonic acid-induced murine <span class=""disease"" id=""16917232-0-78-85"">colitis</span>.",CTD_human
,,Negative,MESH:C565336,,,calpain-3 isoform X2,612338,,CD5,,28173805,"In severe affected dogs versus healthy group complement factor H isoform 2, calpain-3 isoform X2, dystrobrevin beta isoform X7, CD5 molecule-like and l-2-hydroxyglutarate dehydrogenase resulted to be down-regulated.",,,
1.0,0.0,Biomarker,C0024121,Lung Neoplasms,group,lung tumors,5915,RARB,RAR-beta,CTD_human,14656941,These studies demonstrate that aberrant methylation of RAR-beta is an early and common alteration in murine lung tumors induced by several environmentally relevant exposures.,0.21148110342768106,"These studies demonstrate that aberrant methylation of <span class=""gene"" id=""14656941-10-55-63"">RAR-beta</span> is an early and common alteration in murine <span class=""disease"" id=""14656941-10-108-119"">lung tumors</span> induced by several environmentally relevant exposures.",CTD_human
,,Negative,MESH:D009369,,,tumors,18596,,PDGFR,,28138037,"To study the resistance of proneural gliomas that are driven by a PDGFR-regulated pathway to targeted tyrosine kinase inhibitors, we utilized a mouse model of proneural glioma in which mice develop tumors that become resistant to PDGFR inhibition.",,,
1.0,0.0,Biomarker,C0007131,Non-Small Cell Lung Carcinoma,disease,NSCLC,6236,RRAD,RRAD,CTD_human,17195088,"Loss of RRAD expression was found in 14 of 20 (70%) NSCLC cell lines, 11 of 11 (100%) SCLC cell lines, and 8 of 10 (80%) breast cancer cell lines; expression was not affected in normal bronchial and mammary epithelial cells.",0.20054945356842604,"Loss of <span class=""gene"" id=""17195088-4-8-12"">RRAD</span> expression was found in 14 of 20 (70%) <span class=""disease"" id=""17195088-4-52-57"">NSCLC</span> cell lines, 11 of 11 (100%) SCLC cell lines, and 8 of 10 (80%) breast cancer cell lines; expression was not affected in normal bronchial and mammary epithelial cells.",CTD_human
4.0,0.0,Biomarker,C1263846,Attention deficit hyperactivity disorder,disease,attention deficit-hyperactivity disorder,6531,SLC6A3,dopamine transporter,CTD_human,15059031,Polymorphisms of the dopamine transporter gene: influence on response to methylphenidate in attention deficit-hyperactivity disorder.,0.416550651415947,"Polymorphisms of the <span class=""gene"" id=""15059031-0-21-41"">dopamine transporter</span> gene: influence on response to methylphenidate in <span class=""disease"" id=""15059031-0-92-132"">attention deficit-hyperactivity disorder</span>.",CTD_human
,,Negative,MESH:D009369,,,tumor,619501,,HCC,,28021933,Archives HCC tumor tissue samples were used after approval by institutional review board and written informed consent.,,,
,,Negative,MESH:D008545,,,melanoma,9303,,U-25,,28167241,"A-07, U-25, D-12, or R-18 melanoma xenografts were grown in dorsal window chambers and given daily treatments of sunitinib (40 mg/kg) or vehicle.",,,
,,Negative,MESH:D003072,,,cognitive behaviors,25802;1735,,D1 and D3,,28199666,"However, the roles of D1 and D3 receptors in the N-methyl-D-aspartate/glycineB receptor-regulated cognitive behaviors induced by morphine remain unknown.",,,
3.0,0.0,Biomarker,C0020538,Hypertensive disease,group,hypertension,7450,VWF,von Willebrand factor,CTD_human,12425201,"The objective of the investigation was to assess whether circulating adhesion molecules, von Willebrand factor (vWf) and endothelin-1 are elevated in patients with mild uncomplicated essential hypertension without further risk factors of atherosclerosis and whether they could serve as indicators of endothelial dysfunction in this form of hypertension.",0.203780662444353,"The objective of the investigation was to assess whether circulating adhesion molecules, <span class=""gene"" id=""12425201-1-89-110"">von Willebrand factor</span> (vWf) and endothelin-1 are elevated in patients with mild uncomplicated essential hypertension without further risk factors of atherosclerosis and whether they could serve as indicators of endothelial dysfunction in this form of <span class=""disease"" id=""12425201-1-340-352"">hypertension</span>.",CTD_human
1.0,0.0,Therapeutic,C0020545,"Hypertension, Renovascular",disease,renovascular hypertension,4846,NOS3,eNOS,CTD_human,18641695,"The data indicate that eNOS overexpression was able to prevent the development of 2K1C renovascular hypertension in mice, without affecting other characteristic cardiovascular dysfunctions.",0.200274726784213,"The data indicate that <span class=""gene"" id=""18641695-9-23-27"">eNOS</span> overexpression was able to prevent the development of 2K1C <span class=""disease"" id=""18641695-9-87-112"">renovascular hypertension</span> in mice, without affecting other characteristic cardiovascular dysfunctions.",CTD_human
1.0,0.0,Biomarker,C0020429,Hyperalgesia,phenotype,Hyperalgesia,3552,IL1A,IL-1,CTD_human,12727271,"Hyperalgesia induced by both PLA(2)s was blocked by the histamine and serotonin receptor antagonists promethazine and methysergide, respectively, by the bradykinin B(2) receptor antagonist HOE 140 and by antibodies to tumor necrosis factor alfa (TNFalpha) and interleukin 1 (IL-1).",0.2,"<span class=""disease"" id=""12727271-7-0-12"">Hyperalgesia</span> induced by both PLA(2)s was blocked by the histamine and serotonin receptor antagonists promethazine and methysergide, respectively, by the bradykinin B(2) receptor antagonist HOE 140 and by antibodies to tumor necrosis factor alfa (TNFalpha) and interleukin 1 (<span class=""gene"" id=""12727271-7-275-279"">IL-1</span>).",CTD_human
1.0,0.0,Biomarker,C0020438,Hypercalciuria,phenotype,hypercalciuria,6569,SLC34A1,Npt2,CTD_human,9560283,"Targeted inactivation of Npt2 in mice leads to severe renal phosphate wasting, hypercalciuria, and skeletal abnormalities.",0.4810989071368521,"Targeted inactivation of <span class=""gene"" id=""9560283-0-25-29"">Npt2</span> in mice leads to severe renal phosphate wasting, <span class=""disease"" id=""9560283-0-79-93"">hypercalciuria</span>, and skeletal abnormalities.",CTD_human;HPO
,,Negative,MESH:C537751,,,OIS,7157,,TP53,,28002790,"SV40-TAg inhibits TP53/CDKN1A and CDKN2A/RB1, two pathways critical for OIS induction and maintenance.",,,
2.0,0.0,Therapeutic,C0033578,Prostatic Neoplasms,group,prostate tumor,4804,NGFR,p75NTR,CTD_human,17409433,The aryl propionic acid R-flurbiprofen selectively induces p75NTR-dependent decreased survival of prostate tumor cells.,0.20082418035263894,"The aryl propionic acid R-flurbiprofen selectively induces <span class=""gene"" id=""17409433-0-59-65"">p75NTR</span>-dependent decreased survival of <span class=""disease"" id=""17409433-0-98-112"">prostate tumor</span> cells.",CTD_human
59.0,0.0,Biomarker,C0038454,Cerebrovascular accident,group,stroke,5327,PLAT,alteplase,CTD_human,16184341,Medline search identified one further study about the occurrence of alteplase-associated angioedema in stroke patients stratified to the use of ACEi.,0.221398299682364,"Medline search identified one further study about the occurrence of <span class=""gene"" id=""16184341-15-68-77"">alteplase</span>-associated angioedema in <span class=""disease"" id=""16184341-15-103-109"">stroke</span> patients stratified to the use of ACEi.",CTD_human
1.0,0.0,Biomarker,C0011884,Diabetic Retinopathy,disease,diabetic retinopathy,185,AGTR1,angiotensin II type 1 receptor,CTD_human,16601577,Role of the angiotensin II type 1 receptor in the pathogenesis of diabetic retinopathy: effects of blood pressure control and beyond.,0.20541466777231496,"Role of the <span class=""gene"" id=""16601577-0-12-42"">angiotensin II type 1 receptor</span> in the pathogenesis of <span class=""disease"" id=""16601577-0-66-86"">diabetic retinopathy</span>: effects of blood pressure control and beyond.",CTD_human
,,Negative,MESH:D009369,,,cancer,12540,,Cdc42,,28012398,"The present work is aimed to study the modulating effect of JPBS on the lungs expressions of Rac1, Cdc42, SDF-1, and FN in a murine gastric cancer model showing spontaneous lung metastasis.",,,
2.0,0.0,Biomarker,C0003469,Anxiety Disorders,group,anxiety,594857,NPS,NPS,CTD_human,19339610,"Our results suggest that NPS receptors may be an important target for drug abuse research and treatment and that CRF(1) mediates the cocaine-seeking and locomotor stimulant effects of NPS, but not its effects on anxiety-like behavior.",0.20412090176319606,"Our results suggest that <span class=""gene"" id=""19339610-7-25-28"">NPS</span> receptors may be an important target for drug abuse research and treatment and that CRF(1) mediates the cocaine-seeking and locomotor stimulant effects of <span class=""gene"" id=""19339610-7-184-187"">NPS</span>, but not its effects on <span class=""disease"" id=""19339610-7-212-219"">anxiety</span>-like behavior.",CTD_human
2.0,7.0,Biomarker,C1854520,SEBASTIAN SYNDROME,disease,Fechtner Syndrome,4627,MYH9,MYH9,CTD_human,10973259,"Mutations in MYH9 result in the May-Hegglin anomaly, and Fechtner and Sebastian syndromes. The May-Heggllin/Fechtner Syndrome Consortium.",0.694011065994868,"Mutations in <span class=""gene"" id=""10973259-0-13-17"">MYH9</span> result in the <span class=""disease"" id=""10973259-0-32-51"">May-Hegglin anomaly</span>, and Fechtner and Sebastian syndromes. The May-Heggllin/<span class=""disease"" id=""10973259-0-108-125"">Fechtner Syndrome</span> Consortium.",CTD_human;ORPHANET;UNIPROT
,,Negative,MESH:C567932,,,OS,2064,,C-erb B-2,,28023383,Patients which over-expressed both EGFR and C-erb B-2 fared worse in terms of OS (p=0.001)and DFS(p=0.002) due to additive effect of the prognostic power.,,,
,,Negative,MESH:D000013,,,stellar cooling anomalies,470,,ALP,,28106460,"In this event, the Fermi LAT would probe large regions of the ALP parameter space invoked to explain the anomalous transparency of the Universe to y rays, stellar cooling anomalies, and cold dark matter.",,,
,,Negative,MESH:D004194,,,diseases and injuries,9507,,ADAMTS-4,,28084617,"In this review, we first focus on the modifications of ADAMTS-4 expression during CNS physiological and pathological conditions, including chronic diseases and injuries.",,,
,,Negative,MESH:D009369,,,cancer,835;841,,caspase-2 or -8,,28197379,"Non-phosphorylatable eIF2a, depletion of PERK, caspase-2 or -8 compromised calreticulin exposure by cancer cells succumbing to HHP but could not inhibit death.",,,
2.0,0.0,Biomarker,C1608393,Megacystis microcolon intestinal hypoperistalsis syndrome,disease,MMIHS,72,ACTG2,ACTG2,CTD_human,24337657,"In conclusion, our study suggests a pathogenic mechanism for MMIHS by identifying causative ACTG2 mutations.",0.4013736339210661,"In conclusion, our study suggests a pathogenic mechanism for <span class=""disease"" id=""24337657-7-61-66"">MMIHS</span> by identifying causative <span class=""gene"" id=""24337657-7-92-97"">ACTG2</span> mutations.",CTD_human;ORPHANET
,,Negative,MESH:D011475,,,OS,4255,,MGMT,,28136055,CONCLUSIONS: CIL failed to prolong PFS or OS in patients with newly diagnosed glioblastoma and methylated MGMT gene promoter.,,,
,,Negative,MESH:C536528,,,LPS,18126,,iNOS,,28152476,"They also increased COX-2, 5-LOX, and iNOS concentration in macrophages, which was comparable to that of LPS stimulated macrophages.",,,
1.0,0.0,Biomarker,C0007137,Squamous cell carcinoma,disease,SCC,2810,SFN,stratifin,CTD_human,15274141,"At least, SCC antigen, G protein, glutathione S-transferase, manganese superoxide dismutase, annexins, voltage-dependent anion channel, cyclophilin A, stratifin and galectin 7 are candidates for targeted proteins.",0.20656473206648,"At least, <span class=""disease"" id=""15274141-8-10-13"">SCC</span> antigen, G protein, glutathione S-transferase, manganese superoxide dismutase, annexins, voltage-dependent anion channel, cyclophilin A, <span class=""gene"" id=""15274141-8-151-160"">stratifin</span> and galectin 7 are candidates for targeted proteins.",CTD_human
1.0,0.0,Biomarker,C0030297,Pancreatic Neoplasm,disease,pancreatic tumor,1269,CNR2,CB(2,CTD_human,16818650,"In conclusion, results presented here show that cannabinoids lead to apoptosis of pancreatic tumor cells via a CB(2) receptor and de novo synthesized ceramide-dependent up-regulation of p8 and the endoplasmic reticulum stress-related genes ATF-4 and TRB3.",0.2,"In conclusion, results presented here show that cannabinoids lead to apoptosis of <span class=""disease"" id=""16818650-10-82-98"">pancreatic tumor</span> cells via a <span class=""gene"" id=""16818650-10-111-115"">CB(2</span>) receptor and de novo synthesized ceramide-dependent up-regulation of p8 and the endoplasmic reticulum stress-related genes ATF-4 and TRB3.",CTD_human
1.0,1.0,Biomarker,C3714756,Intellectual Disability,group,mental retardation,10743,RAI1,RAI1,CTD_human,19752160,"Haploinsufficiency of RAI1 results in developmental delay, mental retardation, sleep disturbance, self-abusive behaviors, and most features commonly seen in SMS.",0.40027472678421294,"Haploinsufficiency of <span class=""gene"" id=""19752160-2-22-26"">RAI1</span> results in developmental delay, <span class=""disease"" id=""19752160-2-59-77"">mental retardation</span>, sleep disturbance, self-abusive behaviors, and most features commonly seen in SMS.",CTD_human;HPO
1.0,0.0,Biomarker,C0005283,beta Thalassemia,disease,beta-thalassemia,57817,HAMP,hepcidin,CTD_human,16755567,"We found decreased expression of hepcidin and TfR2 and increased expression of TfR1 and NGAL in the beta-thalassemia mouse models, compared with the control mice.",0.20625320350227105,"We found decreased expression of <span class=""gene"" id=""16755567-7-33-41"">hepcidin</span> and TfR2 and increased expression of TfR1 and NGAL in the <span class=""disease"" id=""16755567-7-100-116"">beta-thalassemia</span> mouse models, compared with the control mice.",CTD_human
,,Negative,MESH:D054058,,,acute coronary syndromes,84680,,NSTE-ACS,,28089498,"BACKGROUND: The most recent joint guidelines from the American Heart Association (AHA) and American College of Cardiology (ACC) on the management of non-ST-elevation acute coronary syndromes (NSTE-ACS) are a result of a substantial and considered undertaking, and those involved deserve much recognition for their efforts.",,,
14.0,97.0,Biomarker,C0265354,CHARGE Syndrome,disease,CHARGE syndrome,55636,CHD7,Chd7,CTD_human,21532573,Regulation of disease-associated genes by a Sox2-Chd7 complex provides a plausible explanation for several malformations associated with SOX2 anophthalmia syndrome or CHARGE syndrome.,0.709879706944598,"Regulation of disease-associated genes by a Sox2-<span class=""gene"" id=""21532573-5-49-53"">Chd7</span> complex provides a plausible explanation for several malformations associated with SOX2 anophthalmia syndrome or <span class=""disease"" id=""21532573-5-167-182"">CHARGE syndrome</span>.",CTD_human;ORPHANET;UNIPROT
,,Negative,MESH:D002340,,,carotid atherosclerosis,404677,,CIMT,,28150294,"CONCLUSIONS: The results suggest that CIMT and risk of carotid atherosclerosis are significantly cor-related with PSV and upper body MS, more closely for the PSV than for the MS after adjustment for po-tential confounders.",,,
2.0,2.0,Biomarker,C0339527,Leber Congenital Amaurosis,disease,Leber congenital amaurosis,57096,RPGRIP1,RPGRIP1,CTD_human,11528500,Complete exon-intron structure of the RPGR-interacting protein (RPGRIP1) gene allows the identification of mutations underlying Leber congenital amaurosis.,0.40384617497898295,"Complete exon-intron structure of the RPGR-interacting protein (<span class=""gene"" id=""11528500-0-64-71"">RPGRIP1</span>) gene allows the identification of mutations underlying <span class=""disease"" id=""11528500-0-128-154"">Leber congenital amaurosis</span>.",CTD_human;ORPHANET
,,Negative,OMIM:612348,,,FAP,5747,,FAK,,28014425,"Given the extensive desmoplasia characteristic of pancreatic adenocarcinoma, we hypothesized that FAP and FAK would be overexpressed in pancreatic cancer and contribute to poor outcome.",,,
1.0,0.0,Biomarker,C0014175,Endometriosis,disease,endometriosis,406991,MIR21,MIR21,CTD_human,21063030,"Upregulation of microRNA 21 (MIR21) and DICER1 transcripts suggests roles for microRNAs (miRNAs) in the pathogenesis of severe versus mild endometriosis, potentially through regulation of gene silencing and epigenetic mechanisms.",0.20054945356842604,"Upregulation of <span class=""gene"" id=""21063030-9-16-27"">microRNA 21</span> (<span class=""gene"" id=""21063030-9-29-34"">MIR21</span>) and DICER1 transcripts suggests roles for microRNAs (miRNAs) in the pathogenesis of severe versus mild <span class=""disease"" id=""21063030-9-139-152"">endometriosis</span>, potentially through regulation of gene silencing and epigenetic mechanisms.",CTD_human
,,Negative,MESH:D010051,,,Chinese hamster ovary,5595;5594,,ERK1/2,,28169296,"In Chinese hamster ovary (CHO) cells stably transfected with human FPR1 or FPR2, Compd17b is biased away from potentially detrimental FPR1/2-mediated calcium mobilization, but retains the pro-survival signalling, ERK1/2 and Akt phosphorylation, relative to Compd43.",,,
